Party,Abbreviation,Leader,Ideology,Position,Status,Seats now,Seats needed
Labor,ALP,Annastacia Palaszczuk (Premier),Social democracy,Centre-left,Government,52,±0
Liberal National,LNP,David Crisafulli (Opposition Leader),Liberal conservatism/Agrarianism,Centre-right,Opposition,34,+13
Katter's Australian,KAP,Robbie Katter,Conservatism/Agrarianism,Right-wing,Crossbench,3,+44
Greens,AG/GRN,No state leader,Green politics/Progressivism,Left-wing,Crossbench,2,+45
One Nation,PHON/ON,No state leader,Hansonism/National conservatism/Right-wing populism,Right-wing,Crossbench,1,+46
